"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"汤姆离开了，只留下了他那两个贵族守护者。他们沉思了一会儿，不停地摇头，在地板上踱来踱去，然后，圣约翰勋爵开口道：","Tom’s departure had left his two noble guardians alone.They mused a while, with much head-shaking and walking the floor, then Lord St. John said—"
"“老实说，您怎么想的？”","“Plainly, what dost thou think?”"
"“那么，老实说，这个。国王年事已高，而我的侄子疯了——他将疯着登上皇位，然后继续疯着。上帝保护英国，因为她将需要上帝的保护！”","“Plainly, then, this.The King is near his end; my nephew is mad—mad will mount the throne, and mad remain.God protect England, since she will need it!”"
"“真的是会这样的，确实。但是……你不奇怪……奇怪……”","“Verily it promiseth so, indeed.But ... have you no misgivings as to ... as to ...”"
"说话者犹豫着，最后停住了。显然，他觉得他遇到了棘手的问题。赫特福德伯爵停在他面前，用清澈、直率的目光看着他的脸，说道：","The speaker hesitated, and finally stopped.He evidently felt that he was upon delicate ground.Lord Hertford stopped before him, looked into his face with a clear, frank eye, and said—"
"“接着说——只有我能听到。奇怪什么？”","“Speak on—there is none to hear but me.Misgivings as to what?”"
"“我是很不愿意讲出我的想法的，而且您与他有血缘关系，伯爵。但是，如果我真有所冒犯，希望您原谅。精神失常让殿下的行为举止变化如此之大，不是很奇怪吗？虽然他的举止和言语还是像王子的样儿，但是在许多无足轻重的琐事上，却跟以前的习惯不一样。精神失常使他完全忘记他父王的容貌，忘记了历来做惯了的王室仪式和礼节，记得拉丁文，却忘了希腊文和法文，这不是很奇怪吗？伯爵，不要生气，请让我减少心中的忧虑，并接受我感激的道谢吧。我总在想，他说他不是王子，所以——”","“I am full loth to word the thing that is in my mind, and thou so near to him in blood, my lord.But craving pardon if I do offend, seemeth it not strange that madness could so change his port and manner?—not but that his port and speech are princely still, but that they differ, in one unweighty trifle or another, from what his custom was aforetime.Seemeth it not strange that madness should filch from his memory his father’s very lineaments; the customs and observances that are his due from such as be about him; and, leaving him his Latin, strip him of his Greek and French?My lord, be not offended, but ease my mind of its disquiet and receive my grateful thanks.It haunteth me, his saying he was not the prince, and so—”"
"“住嘴，先生，你说这话真是大不敬！你难道忘了国王的圣旨？别忘了，如果我听了，我就与你一样是在犯罪。”","“Peace, my lord, thou utterest treason!Hast forgot the King’s command?Remember I am party to thy crime if I but listen.”"
"圣约翰脸色苍白，连忙说道：","St. John paled, and hastened to say—"
"“我错了，我真的承认我错了。请您替我保守秘密，高抬贵手，我再也不会想或者讲这件事情了。您放过我吧，先生，不然我就毁了。”","“I was in fault, I do confess it.Betray me not, grant me this grace out of thy courtesy, and I will neither think nor speak of this thing more.Deal not hardly with me, sir, else am I ruined.”"
"“我还好，先生。您别再对我或其他人胡言乱语了，就当您刚才什么都没说。但是您不需要疑虑。他是我妹妹的儿子，我不是从他还在摇篮里时就熟悉他的声音、脸蛋、体形了吗？精神失常能导致所有您在他身上看到的这些奇怪矛盾的事情，而且还不止这些呢。您不记得啦，那位疯了的马利男爵是如何忘了他六十年来一直熟识的自己的那张喜爱的脸，还以为那是别人的。而且，他竟然声称自己是玛丽·玛格达莱妮的儿子，还说自己的脑袋是西班牙玻璃做的。因此，老实说，王子的病不容许受到任何影响，以免有些不注意的仆人不幸加重他的病情。不要忧虑了，我好心的先生。这就是王子——我很熟悉他——而且，他很快就会成为您的国王的。记着这一点对您有好处，多想想这个，不要再想那些。”","“I am content, my lord.So thou offend not again, here or in the ears of others, it shall be as though thou hadst not spoken.But thou need’st not have misgivings.He is my sister’s son; are not his voice, his face, his form, familiar to me from his cradle?Madness can do all the odd conflicting things thou seest in him, and more.Dost not recall how that the old Baron Marley, being mad, forgot the favour of his own countenance that he had known for sixty years, and held it was another’s; nay, even claimed he was the son of Mary Magdalene, and that his head was made of Spanish glass; and, sooth to say, he suffered none to touch it, lest by mischance some heedless hand might shiver it?Give thy misgivings easement, good my lord.This is the very prince—I know him well—and soon will be thy king; it may advantage thee to bear this in mind, and more dwell upon it than the other.”"
"二人又深入地谈了一阵子，圣约翰勋爵尽力掩饰他的错误，一个劲儿地说现在自己的信念坚定了，不会再有所怀疑。赫特福德伯爵让同是看护人的圣约翰勋爵走了，自己一个人坐下来守卫。他很快陷入了沉思，而且很显然，他越想越觉得烦恼。不久，他开始在地板上踱来踱去，喃喃自语。","After some further talk, in which the Lord St. John covered up his mistake as well as he could by repeated protests that his faith was thoroughly grounded now, and could not be assailed by doubts again, the Lord Hertford relieved his fellow-keeper, and sat down to keep watch and ward alone.He was soon deep in meditation, and evidently the longer he thought, the more he was bothered.By-and-by he began to pace the floor and mutter."
"“呸！他肯定是王子！全世界会存在这样血统和出身完全不同、却如此神奇地相似的两个人吗？而且即使有这样的事，而碰巧一个替换了另一个的位置，那就更称得上是奇迹了。不，这太荒唐了，荒唐，荒唐！”","“Tush, he MUST be the prince!Will any be in all the land maintains there can be two, not of one blood and birth, so marvellously twinned?And even were it so, ’twere yet a stranger miracle that chance should cast the one into the other’s place.Nay, ’tis folly, folly, folly!”"
"不一会儿，他说道：","Presently he said—"
"“如果他是冒充的，正常情况下应该自称为王子才是。你看看，这才是合理的。但是，有没有这么一个冒充者，当国王称他王子，朝廷大臣称他王子，所有人都称他王子，而他自己却否认自己是王子，还要求降低身份的呢？不！看在圣斯威森的灵魂的份儿上，不！这是真正的王子，他疯了！”","“Now were he impostor and called himself prince, look you that would be natural; that would be reasonable.But lived ever an impostor yet, who, being called prince by the king, prince by the court, prince by all, DENIED his dignity and pleaded against his exaltation?NO!By the soul of St. Swithin, no!This is the true prince, gone mad!”"
