"第一章 木屋","Chapter I The Chalet"
"“咳！”米尼翁先生带着南方人狡猾的好脾气回应道，“我让女儿自己做主。公爵也好，亲王也好，普通人也好——对我来说都一样，甚至是天才也是如此。我不会做任何承诺，莫黛斯特选中的人就是我的女婿，或者更确切地说，是我的儿子。”他补充道，同时看了一眼拉布里埃，“有什么办法呢。德拉巴斯蒂夫人是德国人。她从来都不适应我们的礼节，而我也让我家的两个女人牵着鼻子走。我一直都是情愿坐马车，而不愿坐椅子。我目前可以拿这件事开开玩笑，是因为我们还没见到埃鲁维尔公爵，而且我既不相信代办的婚姻，也不相信自己为女儿选丈夫。”","“Oh!” replied Monsieur Mignon, with the perfidious good-humor of a Southerner, “I leave my daughter free.Dukes, princes, commoners,—they are all the same to me, even men of genius.I shall make no pledges, and whoever my Modeste chooses will be my son-inlaw, or rather my son,” he added, looking at La Briere.“It could not be otherwise.Madame de La Bastie is German.She has never adopted our etiquette, and I let my two women lead me their own way.I have always preferred to sit in the carriage rather than on the box.I can make a joke of all this at present, for we have not yet seen the Duc d’Herouville, and I do not believe in marriages arranged by proxy, any more than I believe in choosing my daughter’s husband.”"
"“对于两个正在寻求婚姻幸福的点金石的年轻人来说，您这番声明真是既令人鼓舞又让人沮丧。”卡那利说。","“That declaration is equally encouraging and discouraging to two young men who are searching for the philosopher’s stone of happiness in marriage,” said Canalis."
"“事先说清楚父母、女儿以及求婚者完全行动自由，难道您不觉得这很有用、很有必要，甚至很周全么？”夏尔·米尼翁问道。","“Don’t you consider it useful, necessary, and even politic to stipulate for perfect freedom of action for parents, daughters, and suitors?” asked Charles Mignon."
"卡那利看到拉布里埃的手势，便默不作声了。谈话顿时变得琐碎起来，绕着花园走了几圈后，伯爵便告辞了，并催促两位朋友造访。","Canalis, at a sign from La Briere, kept silence.The conversation presently became unimportant, and after a few turns round the garden the count retired, urging the visit of the two friends."
"“那是要打发我们走，”卡那利叫道，“你跟我一样看得很清楚。也是，尽管我们很有魅力，但如果我处于他的立场，在马厩大总管和我们两人之间我也会毫不犹豫。”","“That’s our dismissal,” cried Canalis; “you saw it as plainly as I did.Well, in his place, I should not hesitate between the grand equerry and either of us, charming as we are.”"
"“我不这么认为，”拉布里埃说。“我相信这位直率的军人前来造访，就是要满足见见你的愿望，还有向我们声明，在他家里接待我们的时候，他会保持中立态度。莫黛斯特爱着你的声誉，又被我的外表所误导，正好处于现实与理想、诗歌与散文之间。不幸的是，我就是那散文。”","“I don’t think so,” said La Briere.“I believe that frank soldier came here to satisfy his desire to see you, and to warn us of his neutrality while receiving us in his house.Modeste, in love with your fame, and misled by my person, stands, as it were, between the real and the ideal, between poetry and prose.I am, unfortunately, the prose.”"
"“热尔曼，”贴身男仆过来撤走咖啡，卡那利对他说道，“半个小时内吩咐好马车。我们要在去木屋之前先溜达溜达。”","“Germain,” said Canalis to the valet, who came to take away the coffee, “order the carriage in half an hour.We will take a drive before we go to the Chalet.”"
"第十八章 闪亮登场","Chapter XVIII A Splendid First Appearance"
"两位年轻人都迫不及待地想见莫黛斯特，但拉布里埃是害怕见面，而卡那利则是带着自命不凡的信心去的。拉布里埃跟莫黛斯特父亲见面时很热情，又炫耀了自己多么注重这位从前的商人的家族自豪感，这让卡那利显得很笨拙。于是，他决定扮演一个特别的角色。这位伟大的诗人决定，一方面装出满不在乎的样子，一方面又一如既往地施展他的迷人魅力，通过表现得对这位少女不屑一顾，来刺激她的自尊心。在美貌的肖利厄公爵夫人的教导下，他向来以对女人了如指掌而闻名，但事实上，他一点儿都不了解女人——尤其是那些对他情有独钟、甘愿为他牺牲的女人。可怜的埃内斯特闷闷不乐地坐在马车角落里，沉浸在真爱造成的恐惧中，并直觉地预见到一位受了伤、被触怒的少女的怒火、蔑视和不屑一顾。与此同时，卡那利像演员为新戏里的重要角色做功课一样，也在默默地准备着，当然，两个男人看上去都不怎么开心。对卡那利而言，这事关重大。过去十年里，他与肖利厄伯爵夫人一直关系密切，可一旦他流露出要结婚的意思，这关系就要破裂了。尽管他用需要休息这个庸俗的借口掩盖了他此行的目的——顺便说一下，女人从来都不相信这样的借口，哪怕是真的——他良心上还是有点过不去。但当诗人说起他良心的不安时，拉布里埃只是耸了耸肩，他觉得“良心”这个词太虚伪了。","The two young men were equally impatient to see Modeste, but La Briere dreaded the interview, while Canalis approached it with the confidence of self-conceit.The eagerness with which La Briere had met the father, and the flattery of his attention to the family pride of the ex-merchant, showed Canalis his own maladroitness, and determined him to select a special role.The great poet resolved to pretend indifference, though all the while displaying his seductive powers; to appear to disdain the young lady, and thus pique her self-love.Trained by the handsome Duchesse de Chaulieu, he was bound to be worthy of his reputation as a man who knew women, when, in fact, he did not know them at all,—which is often the case with those who are the happy victims of an exclusive passion.While poor Ernest, gloomily ensconced in his corner of the caleche, gave way to the terrors of genuine love, and foresaw instinctively the anger, contempt, and disdain of an injured and offended young girl, Canalis was preparing himself, not less silently, like an actor making ready for an important part in a new play; certainly neither of them presented the appearance of a happy man.Important interests were involved for Canalis.The mere suggestion of his desire to marry would bring about a rupture of the tie which had bound him for the last ten years to the Duchesse de Chaulieu.Though he had covered the purpose of his journey with the vulgar pretext of needing rest,—in which, by the bye, women never believe, even when it is true,—his conscience troubled him somewhat; but the word “conscience” seemed so Jesuitical to La Briere that he shrugged his shoulders when the poet mentioned his scruples."
"“你的良心，我的朋友，在我看来无非是害怕失宠于肖利厄夫人之后，会失去虚荣带来的快乐，以及一些实实在在的好处和习惯。如果你确定能成功得到莫黛斯特的话，你会毫不在乎地丢弃那过去八年里在已经割过一次又一次的‘激情之草’里长出来的枯萎了的再生草。如果你只是想说，怕你的保护人知道了你呆在这儿的动机而让她不高兴，那我相信你。要是放弃公爵夫人，而在木屋这边又没成功，这险冒得就太大了吧。你现在忧虑，省得将来后悔。”","“Your conscience, my friend, strikes me as nothing more nor less than a dread of losing the pleasures of vanity, and some very real advantages and habits by sacrificing the affections of Madame de Chaulieu; for, if you were sure of succeeding with Modeste, you would renounce without the slightest compunction the wilted aftermath of a passion that has been mown and well-raked for the last eight years.If you simply mean that you are afraid of displeasing your protectress, should she find out the object of your stay here, I believe you.To renounce the duchess and yet not succeed at the Chalet is too heavy a risk.You take the anxiety of this alternative for remorse.”"
