"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"在多查特矿井，哈里的朋友杰克·瑞安在这些信奉超自然力的人中占有头等重要的位置。他是所有这些迷信的坚定信奉者。他把所有这些荒诞离奇的故事改编成了歌曲，这让他在冬日的晚上赢得了许多掌声。","In the first rank of the believers in the supernatural in the Dochart pit figured Jack Ryan, Harry’s friend.He was the great partisan of all these superstitions.All these wild stories were turned by him into songs, which earned him great applause in the winter evenings."
"然而并不只是杰克·瑞安一人有这种信仰。他的同伴们也坚定地断言，阿伯福伊尔矿井里有幽灵出没，人们在那里常常会看到某些奇怪的生灵，就如在高地看到的一样。听他们这么说，要是根本没出现那种东西，那才更离奇。的确，会有哪个地方比黑暗幽深的煤矿更适合那些妖精、精灵、妖怪以及其他怪诞戏剧里的角色呢？舞台布景一切就位，为什么那些具有超自然力的名角们不来出演他们的角色呢？","But Jack Ryan was not alone in his belief.His comrades affirmed, no less strongly, that the Aberfoyle pits were haunted, and that certain strange beings were seen there frequently, just as in the Highlands.To hear them talk, it would have been more extraordinary if nothing of the kind appeared.Could there indeed be a better place than a dark and deep coal mine for the freaks of fairies, elves, goblins, and other actors in the fantastical dramas?The scenery was all ready, why should not the supernatural personages come there to play their parts?"
"杰克·瑞安与他在阿伯福伊尔煤矿的同伴们这么推敲着。我们已经讲过，不同的矿井由长长的地下水平巷道彼此相连。因此，在斯特林郡地下有一片广阔的地带，那里到处都是地道、隧道，还凿有洞穴、钻有矿井。这座地下迷宫堪比一个巨大的蚁丘。","So reasoned Jack Ryan and his comrades in the Aberfoyle mines.We have said that the different pits communicated with each other by means of long subterranean galleries.Thus there existed beneath the county of Stirling a vast tract, full of burrows, tunnels, bored with caves, and perforated with shafts, a subterranean labyrinth, which might be compared to an enormous ant-hill."
"尽管矿工们隶属不同的矿井，但他们前往矿井或收工回家时会经常碰面。因此，他们经常有机会交谈，在各个矿井间传播着那些源于煤矿的故事。这些叙述以口口相传的方式极其快速地传播着，并随着传播变得愈发离奇。","Miners, though belonging to different pits, often met, when going to or returning from their work.Consequently there was a constant opportunity of exchanging talk, and circulating the stories which had their origin in the mine, from one pit to another.These accounts were transmitted with marvelous rapidity, passing from mouth to mouth, and gaining in wonder as they went."
"不过，有两个人因为受过更好的教育，并拥有比他人更实际的头脑，所以总能抵制住这种邪念。他们丝毫不信幽灵、精灵或妖怪的介入。这两人就是西蒙·福特和他的儿子。为了证明这一点，在多查特矿井遭遗弃后，他们继续居住在阴暗的地穴里。和每个高地女人一样，善良的马奇也有些倾向于相信超自然力。但她不得不只在自己内心重复所有这些故事，她也非常认真地这样做了，只为使古老的传统得以保留。","Two men, however, better educated and with more practical minds than the rest, had always resisted this temptation.They in no degree believed in the intervention of spirits, Elves, or goblins.These two were Simon Ford and his son.And they proved it by continuing to inhabit the dismal crypt, after the desertion of the Dochart pit.Perhaps good Madge, like every Highland woman, had some leaning towards the supernatural.But she had to repeat all these stories to herself, and so she did, most conscientiously, so as not to let the old traditions be lost."
"即便西蒙和哈里像他们的同伴一样轻信于迷信，他们也不会将矿井弃给魔鬼与妖精。这对父子十年如一日，带着他们的镐、拐杖和灯，执拗而坚定地秉持着他们的信念。他们四处搜寻，猛烈敲击岩石来进行探测，聆听是否会传回一个有所帮助的声音。只要探测还未推进到原始形态的花岗岩，西蒙·福特和哈里·福特就一致认为，今天搜寻不到，可能明天会搜寻到，而探测应该继续进行。他们一辈子都在为重现阿伯福伊尔往昔的繁荣而奋斗。如果父亲未等到成功之时便离去了，儿子将独自一人继续完成任务。","Even had Simon and Harry Ford been as credulous as their companions, they would not have abandoned the mine to the imps and fairies.For ten years, without missing a single day, obstinate and immovable in their convictions, the father and son took their picks, their sticks, and their lamps.They went about searching, sounding the rock with a sharp blow, listening if it would return a favor-able sound.So long as the soundings had not been pushed to the granite of the primary formation, the Fords were agreed that the search, unsuccessful to-day, might succeed to-morrow, and that it ought to be resumed.They spent their whole life in endeavoring to bring Aberfoyle back to its former prosperity.If the father died before the hour of success, the son was to go on with the task alone."
"在这些征途中，哈里对某些他无从解释的现象印象尤深。有几次，当他沿着某个狭窄的十字小巷行走时，他似乎听到了类似用鹤嘴锄猛烈敲击岩壁的声音。","It was during these excursions that Harry was more particularly struck by certain phenomena, which he vainly sought to explain.Several times, while walking along some narrow cross-alley, he seemed to hear sounds similar to those which would be produced by violent blows of a pickax against the wall."
"哈里急忙寻找这神秘行为的源头。隧道是空的。年轻矿工的灯光映照在岩壁上，却不见任何刚用镐或铁撬动过的痕迹。随后，哈里自问这是否是某种幻听效果，或是某种奇异怪诞的回声。还有几次，当他突然将明亮的灯光投射在岩石上一处看似可疑的裂缝上时，他觉得自己看到了一个影子。他冲上前去。什么都没有，而且没有任何出口能让一个人摆脱他的追逐！","Harry hastened to seek the cause of this mysterious work.The tunnel was empty.The light from the young miner’s lamp, thrown on the wall, revealed no trace of any recent work with pick or crowbar.Harry would then ask himself if it was not the effect of some acoustic illusion, or some strange and fantastic echo.At other times, on suddenly throwing a bright light into a suspicious-looking cleft in the rock, he thought he saw a shadow.He rushed forward.Nothing, and there was no opening to permit a human being to evade his pursuit!"
"在一个月里曾发生过两次情况。有一次哈里正查看矿井西端时，他清楚地听到了远处的声响，就像是某个矿工引爆了炸药一样。。第二次，在他仔细搜寻多次后，他发现了一根刚被炸过的柱子。","Twice in one month, Harry, whilst visiting the west end of the pit, distinctly heard distant reports, as if some miner had exploded a charge of dynamite.The second time, after many careful researches, he found that a pillar had just been blown up."
"借着灯光，哈里仔细检查了被炸过的地方。那不是由石头制成的简易填方，而是一整块穿进煤层深处的片岩。爆炸的目的是为了发现一处新矿脉吗？或许只是有人想毁掉这部分煤矿？他这样怀疑着。当他告诉父亲这件事时，老工头和哈里自己都无法对这个问题给出一个满意的答案。","By the light of his lamp, Harry carefully examined the place attacked by the explosion.It had not been made in a simple embankment of stones, but in a mass of schist, which had penetrated to this depth in the coal stratum.Had the object of the explosion been to discover a new vein?Or had someone wished simply to destroy this portion of the mine?Thus he questioned, and when he made known this occurrence to his father, neither could the old overman nor he himself answer the question in a satisfactory way."
