"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"Old Jolyon looked round at her.","老乔利恩转身看着她。"
"Was she chaffing him?","她是在取笑他吗？"
"No, her eyes were soft as velvet.","不，她的眼睛如天鹅绒般温柔。"
"Was she flattering him?","她是在恭维他吗？"
"But if so, why?","如果是的话，那是为什么呢？"
"There was nothing to be had out of an old chap like him.","恭维他这样一个老家伙可捞不到什么好处啊。"
"“Phil thought so.","“菲尔这么觉得。"
"He used to say: ‘But I can never tell him that I admire him.’“","他以前常说：‘可是我一直都不能告诉他我崇拜他。’”"
"Ah! There it was again.","唉！又来了。"
"Her dead lover; her desire to talk of him!","她那死去的情人；她总是忍不住要谈起他！"
"And he pressed her arm, half resentful of those memories, half grateful, as if he recognised what a link they were between herself and him.","他按了按她的手臂，对这些记忆，他半是怨忿，半是感激，就好像他意识到正是这些记忆将她和他连在一起。"
"“He was a very talented young fellow,” he murmured.","“他是个才华横溢的小伙子。”他低声说，"
"“It’s hot; I feel the heat nowadays.","“好热，近来我受不了热了。"
"Let’s sit down.”","我们坐下吧。”"
"They took two chairs beneath a chestnut tree whose broad leaves covered them from the peaceful glory of the afternoon.","他们在栗子树下的两把椅子上坐下来。栗子树宽大的叶子挡住了午后宁静的日光。"
"A pleasure to sit there and watch her, and feel that she liked to be with him.","坐在这里看着她，他感到她喜欢和自己在一起，真是快乐。"
"And the wish to increase that liking, if he could, made him go on:","如果可以，为何不让这份喜欢更多一些呢？于是他继续说："
"“I expect he showed you a side of him I never saw.","“我想，他在你面前一定有我从未见过的一面。"
"He’d be at his best with you.","和你在一起时，才是他状态最好的时候。"
"His ideas of art were a little new—to me”—he had stiffed the word ‘fangled.’","他对艺术的理解有点儿太新了——对我而言。”——“标新立异”这个词到了嘴边又被咽了回去。"
"“Yes: but he used to say you had a real sense of beauty.”","“嗯，但他常说您才是真正懂得欣赏美的人。”"
"Old Jolyon thought: ‘The devil he did!’ but answered with a twinkle: “Well, I have, or I shouldn’t be sitting here with you.”","老乔利恩心想：“他这么说才真见鬼了！”但又向她眨了眨眼睛说道：“当然啦，不然我就不会和一位美人坐在这儿了。”"
"She was fascinating when she smiled with her eyes, like that!","她笑了，那微笑的眼睛让人沉醉不已！"
"“He thought you had one of those hearts that never grow old.","“他觉得您有颗永远不会变老的心。"
"Phil had real insight.”","菲尔很有眼光。”"
"He was not taken in by this flattery spoken out of the past, out of a longing to talk of her dead lover—not a bit; and yet it was precious to hear, because she pleased his eyes and heart which—quite true!—had never grown old.","这种恭维没有让他忘乎所以，一点儿也没有。他深知，这只是出于对过去的回忆，出于她想要谈论情人的渴望。然而这番话仍是非常中听，因为说这话的她是那样赏心悦目；的确，他的心从未变老。"
"Was that because—unlike her and her dead lover, he had never loved to desperation, had always kept his balance, his sense of symmetry.","这是不是因为，他不同于她和她的情人，从未撕心裂肺地爱过，而是一直保持着他的平衡、他的对称感？"
"Well! It had left him power, at eighty-four, to admire beauty.","好吧！这使他在八十四岁时，仍然能够欣赏美。"
"And he thought, ‘If I were a painter or a sculptor!","他想：“如果我是个画家或者雕刻家该多好啊！"
"But I’m an old chap.","可我只是个老头子。"
"Make hay while the sun shines.’","还是只顾眼前良辰美景吧。”"
"A couple with arms entwined crossed on the grass before them, at the edge of the shadow from their tree.","一对挽着手臂的情侣，踩着他们身后树影的边缘，从面前的草地上穿过。"
"The sunlight fell cruelly on their pale, squashed, unkempt young faces.","阳光无情地照在他们年轻的脸上，那脸苍白、邋遢又颓唐。"
"“We’re an ugly lot!” said old Jolyon suddenly.","“我们是群丑陋的人！”老乔利恩突然说，"
"“It amazes me to see how—love triumphs over that.”","“爱竟能战胜丑陋，实在让我惊讶。”"
"“Love triumphs over everything!”","“爱能战胜一切！”"
"“The young think so,” he muttered.","“年轻人会这样想。”他咕哝道，"
"“Love has no age, no limit, and no death.”","“爱能超越年龄，超越界限，也能超越死亡。”"
"With that glow in her pale face, her breast heaving, her eyes so large and dark and soft, she looked like Venus come to life!","她苍白的脸有了红润的气色，胸口起伏着，深邃的大眼睛里满是柔情，仿佛苏醒了的维纳斯！"
"But this extravagance brought instant reaction, and, twinkling, he said: “Well, if it had limits, we shouldn’t be born; for by George! it’s got a lot to put up with.”","不过，这番冲动之语立即引起反应，他眨了下眼睛，接着说：“如果有界限，我们就不会出生了；因为，天哪，爱情里我们要忍受多少东西啊。”"
"Then, removing his top hat, he brushed it round with a cuff.","接着，他脱下礼帽，用袖口掸了掸帽子边缘。"
"The great clumsy thing heated his forehead; in these days he often got a rush of blood to the head—his circulation was not what it had been.","这个又大又笨重的东西，弄得他前额发热；这些天他总感觉血往头顶冲——他的血压不比从前了。"
"She still sat gazing straight before her, and suddenly she murmured:","她仍然坐着，愣愣地看着前方，突然喃喃道："
"“It’s strange enough that I’m alive.”","“真奇怪，我竟还活着。”"
"Those words of Jo’s ‘Wild and lost’ came back to him.","他突然想起乔所说的“疯疯癫癫，丢了魂一般”。"
"“Ah!” he said: “my son saw you for a moment—that day.”","“对了！”他说，“我儿子见过你一面——就在那天。”"
"“Was it your son?","“那是您儿子？"
"I heard a voice in the hall; I thought for a second it was—Phil.”","我听到厅堂里有人说话，那一瞬间，我还以为是——菲尔呢。”"
"Old Jolyon saw her lips tremble.","老乔利恩看到她的嘴唇在颤抖。"
"She put her hand over them, took it away again, and went on calmly: “That night I went to the Embankment; a woman caught me by the dress.","她用手掩住嘴，又拿了下来，平静后接着说：“那晚我去了筑堤上；一个女人抓住了我的裙子。"
"She told me about herself.","她把她的故事告诉了我。"
"When one knows that others suffer, one’s ashamed.”","一个人若了解了其他人的苦痛，自己就会感到惭愧。”"
"“One of those?”","“是她们中的一个？”"
"She nodded, and horror stirred within old Jolyon, the horror of one who has never known a struggle with desperation.","她点点头。老乔利恩心中生出一种恐惧，是那种从未在绝望中挣扎过的人才会有的恐惧。"
"Almost against his will he muttered: “Tell me, won’t you?”","他违心地小声说道：“跟我说说吧。”"
"“I didn’t care whether I lived or died.","“我当时根本不在乎生死。"
"When you’re like that, Fate ceases to want to kill you.","但当你那样时，命运也就不想置你于死地了。"
"She took care of me three days—she never left me.","她照顾了我三天——寸步不离。"
"I had no money.","我没有钱。"
"That’s why I do what I can for them, now.”","所以我现在尽我所能地帮助她们。”"
"But old Jolyon was thinking: ‘No money!’","但老乔利恩心想：“没钱！”"
"What fate could compare with that?","还有比这更惨的命运吗？"
"Every other was involved in it.","其他厄运都会跟着找上门来。"
"“I wish you had come to me,” he said.","“真希望你那时就来找我。”他说，"
"“Why didn’t you?” But Irene did not answer.","“你为什么不来呢？”但艾琳没有回答。"
"“Because my name was Forsyte, I suppose?","“我想，是因为我姓福赛特？"
