"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"Sitting down on the jade green settee, she said:","她在那张翠绿色的长靠椅上坐下，说道："
"“Well, you funny little creature, don’t you know me after all this time?”","“喂，你这滑稽的小家伙，都这么久了，你还不认识我吗？”"
"Ting-a-ling’s black shiny gaze seemed saying: “You recur here, I know; most things recur.","小叮铃那双黑亮的眼睛似乎在说：“我知道你又来了，绝大多数事情都是这样循环往复的。"
"There is nothing new about the future.”","未来也没什么新鲜可言。”"
"Lady Alison fell into a train of thought: The new generation!","艾莉森夫人不禁陷入沉思：这就是新的一代啊！"
"Did she want her own girls to be of it!","她是否希望自己的女儿也属于这一代呢！"
"She would like to talk to Mr. Minho about that—they had had a very nice talk down at Beechgroves before the war.","她想同明霍先生谈谈这个话题——战前，在比奇格罗夫，他们有过一次畅谈。"
"Nine years ago—Sybil only six, Joan only four then!","那是九年前了——那时西比尔只有六岁，琼才四岁！"
"Time went, things changed!","光阴似箭，时过境迁！"
"A new generation!","新的一代！"
"And what was the difference?","他们到底有什么特别的呢？"
"“I think we had more tradition!” she said to herself softly.","“我想我们更传统些吧!”她轻声自语道。"
"A slight sound drew her eyes up from contemplation of her feet.","一阵轻微的声响让她移开了凝视着自己双脚的目光。"
"Ting-a-ling was moving his tail from side to side on the hearthrug, as if applauding.","小叮铃在炉前的地毯上来回摆弄尾巴，仿佛在表示欢迎。"
"Fleur’s voice, behind her, said:","这时，她身后传来了弗勒的声音："
"“Well, darling, I’m awfully late.","“亲爱的，我来得太迟了。"
"It WAS good of you to get me Mr. Minho.","你真是太好了，替我邀请到明霍先生。"
"I do hope they’ll all behave.","我希望他们都能遵守常规。"
"He’ll be between you and me, anyway; I’m sticking him at the top, and Michael at the bottom, between Pauline Upshire and Amabel Nazing.","不管怎样，他会坐在你和我中间，我把他安排在主座，迈克尔在末座，迈克尔两旁分别是保利娜·厄普夏和阿玛贝尔·内津。"
"You’ll have Sibley on your left, and I’ll have Aubrey on my right, then Nesta Gorse and Walter Nazing; opposite them Linda Frewe and Charles Upshire.","西布莉坐在你左边，奥布里坐在我右边，挨着他们的是内丝塔·戈斯和沃尔特·内津，他们对面是琳达·弗鲁和查尔斯·厄普夏。"
"Twelve.","一共12个人。"
"You know them all.","你全都认识。"
"Oh! and you mustn’t mind if the Nazings and Nesta smoke between the courses.","哦！如果内津夫妇和内丝塔在上菜的间歇吸烟，你可别见怪啊。"
"Amabel will do it.","阿玛贝尔可能也抽烟。"
"She comes from Virginia—it’s the reaction.","她来自弗吉尼亚——那里的人都好抽烟。"
"I do hope she’ll have some clothes on; Michael always says it’s a mistake when she has; but having Mr. Minoho makes one a little nervous.","我真希望她穿点儿衣服在身上，迈克尔老是说她穿上衣服是个错误；不过，明霍先生在场，气氛会有点儿紧张。"
"Did you see Nesta’s skit in ‘The Bouquet’?","你看过《恭维话》里内丝塔的那篇讽刺短文吗？"
"Oh, too frightfully amusing—clearly meant for L.S.D.!","啊，那真是太有趣了——明明指的就是L. S. D.啊！"
"Ting, my Ting, are you going to stay and see all these people?","叮铃，我的叮铃，你想留在这见见所有客人吗？"
"Well, then, get up here or you’ll be trodden on.","那么，爬上来吧，不然你会被踩到的。"
"Isn’t he Chinese?","看它是不是中国狗？"
"He does so round off the room.”","它的确使整个房间熠熠生辉。”"
"Ting-a-ling laid his nose on his paws, in the centre of a jade green cushion.","小叮铃把鼻子放在爪子上，趴在了翠绿色的靠垫中央。"
"“Mr. Gurding Minner!”","“格亭·明纳先生来了！”"
"The well-known novelist looked pale and composed.","这位著名小说家脸色苍白、神态自若。"
"Shaking the two extended hands, he gazed at Ting-a-ling, and said:","他与两个人握手，眼睛盯着小叮铃，说道："
"“How nice!","“多可爱!"
"How are YOU, my little man?”","你好吗，小家伙？”"
"Ting-a-ling did not stir.","小叮铃动也不动。"
"“You take me for a common English dog, sir!” his silence seemed to say.","它的沉默似乎在说：“你把我当成一只普通的英国狗了，先生！”"
"""Mr. and Mrs. Walter Nazon, Miss Lende Frow. ""","“沃尔特·内森夫妇到了，琳达·弗劳小姐到了。”"
"Amabel Nazing came first, clear alabaster from her fair hair down to the six inches of gleaming back above her waist-line, shrouded alabaster from four inches below the knee to the gleaming toes of her shoes; the eminent novelist mechanically ceased to commune with Ting-a-ling.","阿玛贝尔·内津先走了进来。从她美丽的头发到腰上六寸若隐若现的背部，宛如明净的雪花石膏；从膝盖以下四寸到鞋里微微露出的脚趾，则像是裹着一层布的雪花石膏。这位著名的小说家也不由得停止了与小叮铃的交流。"
"Walter Nazing, who followed a long way up above his wife, had a tiny line of collar emergent from swathes of black, and a face, cut a hundred years ago, that slightly resembled Shelley’s.","沃尔特·内津一路跟在妻子后面，他身材高大，从黑色的衣服里露出一小截衣领，他的脸像是从一百年前雕刻出来的，有点儿像雪莱。"
"His literary productions were sometimes felt to be like the poetry of that bard, and sometimes like the prose of Marcel Proust.","他文学作品的风格有时像雪莱，有时又像马塞尔·普鲁斯特。"
"“What oh!” as Michael said.","就像迈克尔所说：“这算什么呀！”"
"Linda Frewe, whom Fleur at once introduced to Gurdon Minho, was one about whose work no two people in her drawing-room ever agreed.","弗勒立刻把琳达·弗鲁介绍给格登·明霍认识。对于琳达的作品，在这个客厅的客人们中，从来没有得到过统一的见解。"
"Her works ‘Trifles’ and ‘The Furious Don’ had quite divided all opinion.","人们对她的两部作品《琐事》和《狂怒的西班牙绅士》，意见分歧都很大。"
"Genius according to some, drivel according to others, those books always roused an interesting debate whether a slight madness enhanced or diminished the value of art.","有些人认为是上乘之作，有些人认为是胡说八道，她的作品总是会引起一场有趣的辩论——小小的疯狂到底是会加强艺术的价值，还是会贬低艺术的价值？"
"She herself paid little attention to criticism—she produced.","她本人对此类评论并不介怀，她只管继续创作。"
"“THE Mr. Minho?","“您就是明霍先生？"
"How interesting!","多有趣啊!"
"I’ve never read anything of yours.”","我还没读过您的任何一部作品。”"
"Fleur gave a little gasp.","弗勒微微喘了口气。"
"“What—don’t you know Mr. Minho’s cats?","“什么——你不知道明霍先生写的猫吗？"
"But they’re wonderful.","写得好极了。"
"Mr. Minho, I do want Mrs. Walter Nazing to know you.","明霍先生，我再介绍你认识沃尔特·内津夫人。"
"Amabel—Mr. Gurdon Minho.”","这位是阿玛贝尔，这位是格登·明霍先生。”"
"“Oh!","“哦！"
"Mr. Minho—how perfectly lovely!","明霍先生，见到您真荣幸！"
"I’ve wanted to know you ever since my cradle.”","我老早就想认识您了。”"
"Fleur heard the novelist say quietly:","弗勒听到这位小说家平静地说："
"“I could wish it had been longer;” and passed on in doubt to greet Nesta Gorse and Sibley Swan, who came in, as if they lived together, quarrelling over L.S.D., Nesta upholding him because of his ‘panache’, Sibley maintaining that wit had died with the Restoration; this fellow was alive!","“我也希望更早些认识您。”然后疑惑地走过去和刚进来的内丝塔·戈斯和西布莉·斯旺打招呼。她们两人一同进来，好像住在一起似的，边走边争论着，争论的焦点好像是L. S. D.。内丝塔因为他的作品《羽饰》而拥护他，西布莉则认为，机智已经随着复兴运动而死亡，这个人却还活着！"
"Michael followed with the Upshires and Aubrey Greene, whom he had encountered in the hall.","迈克尔跟在厄普夏夫妇和奥布里·格林后面一起进来，他在门厅碰见了他们。"
"The party was complete.","宴会的客人到齐了。"
"Fleur loved perfection, and that evening was something of a nightmare.","弗勒追求事事完美，而那天晚上有点儿噩梦的感觉。"
"Was it a success?","这算成功吗？"
"Minho was so clearly the least brilliant person there; even Alison talked better.","宴会上，明霍显然是最没意思的人，连艾莉森的谈吐都比他强。"
"And yet he had such a fine skull.","不过，他却头脑精明。"
"She did hope he would not go away early.","她真希望他不会过早离开。"
"Some one would be almost sure to say ‘Dug up!’ or ‘Thick and bald!’ before the door closed behind him.","只要他起身离开，门还没关严，肯定就会有人说：“出土的古董！”或“又呆又秃！”。"
"He was pathetically agreeable, as if trying to be liked, or, at least, not despised too much.","他忍气吞声地附和别人，试图讨好大家，或者，至少不要太招人鄙视。"
"And there must, of course, be more in him than met the sense of hearing.","当然，他脑子里的东西肯定比他讲给大家听的要多。"
"After the crab souffle he did seem to be talking to Alison, and all about youth.","吃过蟹粉蛋奶酥后，他好像确实在和艾莉森聊天，内容全是关于年轻人的。"
"Fleur listened with one ear.","弗勒竖起耳朵听着。"
"“Youth feels... main stream of life... not giving it what it wants.","“青春年少时感觉到……生活的主流……没有得到它所向往的东西。"
"Past and future getting haloes... Quite!","过去和未来获得光荣……的确如此！"
"Contemporary life no earthly just now... No... Only comfort for us—we’ll be antiquated, some day, like Congreve, Sterne, Defoe... have our chance again... WHY?","在当代生活中，已经没有正义可言了……不……对我们只有安慰——总有一天我们都会过时，像康格里夫、斯特恩、笛福……我们还会有机会……为什么？"
"What IS driving them out of the main current?","是什么正在把他们赶出主流？"
"Oh!","哦！"
"Probably surfeit... newspapers... photographs.","可能是暴饮暴食……报纸……照片。"
"Don’t see life itself, only reports... reproductions of it; all seems shoddy, lurid, commercial... Youth says ‘Away with it, let’s have the past or the future!’”","不思考生活本身，只看报道……生活的复制品，一切都显得质量低劣、耸人听闻和商业化……年轻人常说：‘管它呢，让我们享受过去或未来！’”"
