"In the Days of the Comet","彗星来临"
"I felt like a bombshell of swearing that must presently burst with some violence as I went on my silent way.","我觉得自己就像是一颗炸弹一般，一边安静地赶路，一边信誓旦旦地要随时迸发出暴力。"
"He had so completely got the best of our encounter.","他已经完全领略到我们之间遭遇战的火药味。"
"Section 7","第七节"
"There comes a memory, an odd intermixture of two entirely divergent things, that stands out with the intensest vividness.","我脑中有一种记忆，那是两件完全不同的事情的混合体，这记忆十分生动有趣。"
"As I went across the last open meadow, following the short cut to Checkshill station, I perceived I had two shadows.","在我穿过最后一片开阔的草甸，沿着小道向切克希利车站方向走去时，我发觉我竟然有两个影子。"
"The thing jumped into my mind and stopped its tumid flow for a moment.","这事儿跳进了我的脑海，一时间平息了我汹涌的思绪。"
"I remember the intelligent detachment of my sudden interest.","我记起我自己的一时兴起是多么的明智。"
"I turned sharply, and stood looking at the moon and the great white comet, that the drift of the clouds had now rather suddenly unveiled.","我猛然转过头，停下脚步，仰望月亮和白色的彗星，漂浮的白云也突然显现出来。"
"The comet was perhaps twenty degrees from the moon.","彗星距月亮大约20度。"
"What a wonderful thing it looked floating there, a greenish-white apparition in the dark blue deeps!","它看上去漂浮不定，如此神奇，就像深蓝色深渊中的绿白色的幽灵！"
"It looked brighter than the moon because it was smaller, but the shadow it cast, though clearer cut, was much fainter than the moon’s shadow... I went on noting these facts, watching my two shadows precede me.","它显得比月亮还要明亮，因为它更小，但它的影子要比月亮淡得多，不过它的边缘很清晰……我继续观察着这些，注视着我身前的两个影子。"
"I am totally unable to account for the sequence of my thoughts on this occasion.","我完全没有办法解释我此刻汹涌的思绪。"
"But suddenly, as if I had come on this new fact round a corner, the comet was out of my mind again, and I was face to face with an absolutely new idea.","但突然间，似乎我曾在一个路口见到过这个新的事实。我的思绪再次从彗星上抽回，而我面对的是一个绝对全新的观点。"
"I wonder sometimes if the two shadows I cast, one with a sort of feminine faintness with regard to the other and not quite so tall, may not have suggested the word or the thought of an assignation to my mind.","我投下的两个影子，一个带有某种女性的柔弱，相比之下另一个也不算高大。我有时会想，这两个影子是否会让人联想到外界强加给我的表达或者思想。"
"All that I have clear is that with the certitude of intuition I knew what it was that had brought the youth in evening dress outside the shrubbery.","但有一点是确定的，那就是凭我的直觉，我知道为什么那个年轻人会穿着晚礼服站在灌木丛旁。"
"Of course!","确定无疑！"
"He had come to meet Nettie!","他是来见妮蒂的！"
"Once the mental process was started it took no time at all.","一旦思维走向正轨，就不会再耗费时间了。"
"The day which had been full of perplexities for me, the mysterious invisible thing that had held Nettie and myself apart, the unaccountable strange something in her manner, was revealed and explained.","那个令我满是困惑的日子，那潜在的令我和妮蒂分手的事情以及她奇怪而难以解释的举止，在那一刻都被揭露出来，我终于明白这一切都是为什么了。"
"I knew now why she had looked guilty at my appearance, what had brought her out that afternoon, why she had hurried me in, the nature of the “book” she had run back to fetch, the reason why she had wanted me to go back by the high-road, and why she had pitied me.","现在我知道为什么我的到来会让她显得内疚，那天下午她为什么会出门，为什么她慌忙让我进屋，而她却回去“取书”，为什么她坚持要我走高速公路，为什么她会同情我。"
"It was all in the instant clear to me.","刹那间，我明白了一切。"
"You must imagine me a black little creature, suddenly stricken still—for a moment standing rigid—and then again suddenly becoming active with an impotent gesture, becoming audible with an inarticulate cry, with two little shadows mocking my dismay, and about this figure you must conceive a great wide space of moonlit grass, rimmed by the looming suggestion of distant trees—trees very low and faint and dim, and over it all the domed serenity of that wonderful luminous night.","你一定会把我想成是一个黑小子，突然平静下来，一瞬间僵住，继而又突然活跃起来，无力地比划着手势，口齿不清地叫喊着，垂头丧气，沮丧不已，两个小影子在一旁嘲笑着我。对于这种形象，想必你一定能想象出月光下开阔的草地，远处的树林隐约勾勒出它的边缘，那些树木低矮、模糊、黯淡，而这一切都被静谧明亮的夜晚而笼罩。"
"For a little while this realization stunned my mind.","一时间这一想法让我不知所措。"
"My thoughts came to a pause, staring at my discovery.","我的思维瞬间停滞在这一发现上。"
"Meanwhile my feet and my previous direction carried me through the warm darkness to Checkshill station with its little lights, to the ticket-office window, and so to the train.","而与此同时，我的双脚和我先前行动的方向又带我穿过温暖的黑暗，在溶溶月光下向切克希利火车站的售票处窗口走去，而后走向火车。"
"I remember myself as it were waking up to the thing—I was alone in one of the dingy “third-class” compartments of that time—and the sudden nearly frantic insurgence of my rage.","在我印象中，当我渐渐清醒过来时，我正一个人坐在一节“三等”车厢里，心中那狂乱的愤怒突然就爆发出来了。"
"I stood up with the cry of an angry animal, and smote my fist with all my strength against the panel of wood before me....","我发出一声困兽般的怒吼，使尽浑身力气，一拳砸在面前的木板上……"
"Curiously enough I have completely forgotten my mood after that for a little while, but I know that later, for a minute perhaps, I hung for a time out of the carriage with the door open, contemplating a leap from the train.","而奇怪的是，没过多长时间我就完全忘掉了我的火气，可我后来明白，差不多一分钟之后，我从开着的车厢门向外探出身去，想着如何能从火车上跳下去。"
"It was to be a dramatic leap, and then I would go storming back to her, denounce her, overwhelm her; and I hung, urging myself to do it.","那将是富有戏剧性的一跳，之后我会突然闪回她身边，谴责她，征服她。我就那样探着身子，催促自己那样做。"
