"第一章 唯一的幸存者","CHAPTER I THERE IS NO ONE LEFT"
"这是人们所能想象到的最甜美、最神秘的地方。使之与世隔绝的高墙上覆满了攀爬的玫瑰那光秃秃没叶子的树枝，树枝非常浓密，都缠在了一起。玛丽·伦诺克斯知道那是玫瑰，因为她在印度见过很多玫瑰。满地都被冬气肃杀的褐色枯草覆盖着，枯草中长出一丛丛灌木。它们要是还活着，一定是玫瑰树丛。这些笔直的玫瑰枝蔓延得很开，像是些小树。园子里还有些别的树。攀爬的玫瑰爬满这些树木，垂下的长蔓成了轻轻摇摆的帘幕。这是使这个地方看起来无比神秘、无比可爱的原因之一。这些枝蔓这里那里互相扭在一起，或者扭到其他一枝伸得远远的枝条。玫瑰枝条从一棵树攀爬到另一棵树，自身组成了一座座可爱的小桥。枝条上没有树叶，也没有玫瑰花，玛丽也不知道这些树枝是不是还活着。但它们纤细的灰褐色树枝和小枝杈看起来像烟霭般的罩子覆盖着一切，墙上、树上、甚至是褐色的草上。树枝从打结的地方落下，一路蔓延到地上。正是这树木间烟霭般的纠缠让一切看来如此神秘。玛丽早就知道，这个花园一定和其他没有被长期遗弃的花园不一样。果然，这花园同她所见过的任何地方都不同。","It was the sweetest, most mysterious-looking place any one could imagine.The high walls which shut it in were covered with the leafless stems of climbing roses which were so thick that they were matted together.Mary Lennox knew they were roses because she had seen a great many roses in India.All the ground was covered with grass of a wintry brown and out of it grew clumps of bushes which were surely rosebushes if they were alive.There were numbers of standard roses which had so spread their branches that they were like little trees.There were other trees in the garden, and one of the things which made the place look strangest and loveliest was that climbing roses had run all over them and swung down long tendrils which made light swaying curtains, and here and there they had caught at each other or at a far-reaching branch and had crept from one tree to another and made lovely bridges of themselves.There were neither leaves nor roses on them now and Mary did not know whether they were dead or alive, but their thin gray or brown branches and sprays looked like a sort of hazy mantle spreading over everything, walls, and trees, and even brown grass, where they had fallen from their fastenings and run along the ground.It was this hazy tangle from tree to tree which made it all look so mysterious.Mary had thought it must be different from other gardens which had not been left all by themselves so long; and indeed it was different from any other place she had ever seen in her life."
"“多么安静啊！”她耳语道，“真安静！”","“How still it is!” she whispered. “How still!”"
"然后她停了一下，仔细聆听这宁静。飞上枝头的知更鸟此刻和周围一切一样安静。它甚至连翅膀都没拍打一下，一动不动地看着玛丽。","Then she waited a moment and listened at the stillness.The robin, who had flown to his treetop, was still as all the rest.He did not even flutter his wings; he sat without stirring, and looked at Mary."
"“难怪这里如此安静。”她又喃喃道，“我是十年来第一个在这里说话的人。”","“No wonder it is still,” she whispered again.“I am the first person who has spoken in here for ten years.”"
"她从门边开始移动，蹑手蹑脚，好像生怕惊动了谁。好在脚下有草，脚步就不发出声音了。她从树间一个童话般的灰色拱门下走过，抬头看那搭成拱门的枝枝蔓蔓。“我想知道它们是不是都死了。”她说，“这整个是个死花园吗？我希望不是。”","She moved away from the door, stepping as softly as if she were afraid of awakening some one.She was glad that there was grass under her feet and that her steps made no sounds.She walked under one of the fairy-like gray arches between the trees and looked up at the sprays and tendrils which formed them.“I wonder if they are all quite dead,” she said.“Is it all a quite dead garden?I wish it wasn’t.”"
"她要是本·韦瑟斯达夫，就能通过观察分辨出树木是不是还活着。但她只能看到褐色和灰色的枝叶和树杈，连任何丁点儿大的叶芽的痕迹都没有。","If she had been Ben Weatherstaff she could have told whether the wood was alive by looking at it, but she could only see that there were only gray or brown sprays and branches and none showed any signs of even a tiny leaf-bud anywhere."
"不过她已经在这个奇妙花园里了，她可以随时穿越常春藤架子下的门来到花园里。她觉得自己仿佛发现了一个只属于自己的世界。","But she was inside the wonderful garden and she could come through the door under the ivy any time and she felt as if she had found a world all her own."
"四墙之内阳光明媚，花园上空高拱的蓝色天空也仿佛比旷野上其他地方的天空都更加温柔明媚。知更鸟从树顶飞下来，跳来跳去，跟在她身后在一棵棵树间飞来飞去。它很是叽叽喳喳了一阵，好似很忙的样子，仿佛在给玛丽指路。一切都那么奇怪而又平静。玛丽仿佛离任何人都有几百英里远。但不知为何，她一点儿都不感到孤独。唯一困扰她的，就是她想知道这些玫瑰是不是死了，或者有些也许还活着，待天气转暖，就能生发出树叶和骨朵。她可不想这真的是一座死掉的花园。倘若这是一座生机勃勃的花园该有多好，四边就会长满成千上万朵玫瑰花。","The sun was shining inside the four walls and the high arch of blue sky over this particular piece of Misselthwaite seemed even more brilliant and soft than it was over the moor.The robin flew down from his tree-top and hopped about or flew after her from one bush to another.He chirped a good deal and had a very busy air, as if he were showing her things.Everything was strange and silent and she seemed to be hundreds of miles away from any one, but somehow she did not feel lonely at all.All that troubled her was her wish that she knew whether all the roses were dead, or if perhaps some of them had lived and might put out leaves and buds as the weather got warmer.She did not want it to be a quite dead garden.If it were a quite alive garden, how wonderful it would be, and what thousands of roses would grow on every side!"
"她进来时跳绳是挽在手臂上的。走了一阵，她想可以绕着花园跳跳，想要看什么的时候再停下来。似乎到处都是长满草的小径，一两处角落里还有搭满常春藤的凉亭，里面有石凳，有些有长满苔藓的高脚花瓶。","Her skipping-rope had hung over her arm when she came in and after she had walked about for a while she thought she would skip round the whole garden, stopping when she wanted to look at things.There seemed to have been grass paths here and there, and in one or two corners there were alcoves of evergreen with stone seats or tall moss-covered flower urns in them."
"她走近第二个凉亭，停下来不跳了。这里以前有一个花床，她似乎看到什么东西从黑土中冒出——一些尖尖的暗绿色小点儿。她想起老本曾经说过的，跪下来端详它们。","As she came near the second of these alcoves she stopped skipping.There had once been a flowerbed in it, and she thought she saw something sticking out of the black earth—some sharp little pale green points.She remembered what Ben Weatherstaff had said and she knelt down to look at them."
"“是的，这些细小的东西确实在长，可能是番红花，可能是雪花莲，要么就是旱水仙。”她嘀咕道。","“Yes, they are tiny growing things and they might be crocuses or snowdrops or daffodils,” she whispered."
"她弯腰靠得更近，使劲闻着潮湿的泥土的清香。她很爱这味道。","She bent very close to them and sniffed the fresh scent of the damp earth.She liked it very much."
"“也许其他地方有别的东西长出来。”她说，“我要绕着花园瞧瞧。”","“Perhaps there are some other ones coming up in other places,” she said.“I will go all over the garden and look.”"
