"印度","India "
"光线渐暗，我慢慢陷入沉思中，眼望窗外，我见过的那些可爱的事物再次呈现在脑海中—那些雕刻和绘画，珠宝和瓷器：所有那些穿越时光的艺术瑰宝。","And as the light lessened and the brooding hour set in I looked out of the window and reconstructed some of the lovely things I had seen— the sculptures and the paintings, the jewels and the porcelain: all the fine flower of the arts through the ages. "
"这样的完美之作能保存下来似乎神奇得让人无法理解。我想上帝看到他自己创造的人类成长并达到这种高度一定会惊叹不已。","It seemed marvellous beyond understanding that such perfection could exist, and I thought how wonderful it must be to be God and see His creatures rising now and again to such heights. "
"接着我们到了下一站，火车在这里停留的时间很长，于是我去一家客栈吃了顿饭。","And then I came to a station where there was to be a very long wait, and I went to an inn for a meal. "
"这是一个脏乱、不起眼的地方，一个郁郁寡欢、不修边幅的男子坐在门口，他粗声粗气地叫唤里屋的妻子。","It was a dirty neglected place, with a sullen unwashed man at the door, who called raspingly to his wife within. "
"她走了过来，蓬头垢面、衣服和围裙上满是污垢，看起来一副悲惨、疲惫的样子。","And when she came she was a slattern, with dishevelled hair and a soiled dress and apron, and she looked miserable and worn out. "
"她做的饭叫人没法吃，我走过去要付钱时发现她沮丧地坐在椅子上，看着今天一大堆要洗的餐具，一副呆滞绝望的神情。","She prepared a meal which I could not eat, and when I went to pay for it I found her sitting dejectedly in a chair looking with a kind of dumb despair at the day’s washing-up still to do. "
"于是我起身走到路边去等车的时候，开始想象她早年的快乐生活会是什么样子。","And as I walked up and down the road waiting for the car I thought of this woman’s earlier life when she was happy. "
"我想到了她的恋爱时期，她的丈夫怜爱她，两个人期待早日步入婚姻殿堂，他很温柔而她很快乐。","I thought of her in her courtship, when her husband loved her and they looked forward to marriage and he was tender and she was blithe. "
"他们很可能一起来到科尼岛和其他人一起欢声笑语。","They probably went to Coney Island together and laughed with the rest. "
"而如今快乐的女孩变成了懒惰、脏乱的妇人，曾经热情、年轻的丈夫变得粗野、霸道，曾经的幸福小屋变得破败，婚姻的誓言全被遗忘。发生这样的变化似乎很不道德。","And it seemed iniquitous that such changes should come about and that merry girls should grow into sluts and slovens, and ardent young husbands should degenerate into unkempt bullies, and houses meant for happiness should decay, and marriage promises all be forgotten. "
"我觉得如果这个世界经营得像这个小家这样，我就再也不愿去欣赏上帝最美的艺术宠儿了，大都会博物馆就可以被遗忘了。","And I felt that if the world could not be better managed than that I never wanted to see any of God’s artistic darlings at the top of their form again and the Metropolitan Museum could go hang. "
"国内建筑","Domestic Architecture "
"我相信没有什么对美国的评价会比说它有漂亮的建筑更令英国人吃惊。波士顿和剑桥是两座老派、温馨的城市，这我有思想准备—奥利弗·温德尔·霍姆斯的描述给我留下了初步的印象。我明显感觉到白宫清冷宽敞，国会大厦气势恢宏。当然，我也知道如果你想去体会突破传统之处那就该去看看纽约的摩天大楼！但之前我并未听说过第五大街的圣托马斯教堂，也不知道摩根先生精致的图书馆、大中央车站、华盛顿的林肯纪念堂、弗农山那柔和的魅力。我也没有想到第五大街是一条如此有品位而热闹的街道。","I believe that few statements about America would so surprise English people as that it has beautiful architecture. I was prepared to find Boston and Cambridge old-fashioned and homelike—Oliver Wendell Holmes had initiated me; I had a distinct notion of the cool spaciousness of the White House and the imposing proportions of the Capitol and, of course, I knew that one had but to see the skyscrapers of New York to experience the traditional repulsion! But of the church of St. Thomas on Fifth Avenue I had heard nothing, nor of Mr. Morgan’s exquisite library, nor of the Grand Central terminus, nor of the Lincoln Memorial at Washington, nor of the bland charm of Mount Vernon. Nor had I expected to find Fifth Avenue so dignified and cordial a thoroughfare. "
"我更没有料到的是一些商铺的金属结构和石方结构都能如此漂亮—比如，百老汇和第五大街上都有的那些新担保信托办公室。即使是电梯（在英国，尽管我们一向懒散,我们的电梯是单音节词）也常常设计得很有品位。","Even less was I prepared for such metal work and stone work as is to be seen in some of the business houses—such as, for example, the new Guaranty Trust offices, both on Broadway and in Fifth Avenue. Even the elevators (for which we in England, in spite of our ancient lethargy, have a one-syllable word) are often finished with charming taste. "
